storeCode,storeName,address,latitude,longitude,distance,startTime,endTime,openYn,holidayYn,openYmd,salesCloseYmd,searchKeywords,storeImageUrl,smartReturnYn,salesStoreYn,remainQuantity,o2oRemainQuantity,pickupYn,payOperDt,statusCode,promotionYn,newOpenYn,oyHotPlaceYn,popupYn,clickCnt,businessPlaceShapeTypeCode,promotionInfo,couponInfo,skinScanYn,oliveBetterFlag
DEBA,제주용담점,제주특별자치도 제주시 서해안로 620,33.5168551200172,126.503149072487,452.14,1030,2200,False,False,20250522,,,DEBA_2025051431016421.png,True,False,0,0,True,,E,False,False,False,False,14,DA,,,False,False
BA63,제주동문시장점,제주특별자치도 제주시 관덕로 62-1 (일도일동),33.512905,126.5259447,452.38,1000,2130,False,False,20180906,,,BA63_1.jpg,True,False,0,0,True,,E,False,False,False,False,13,B1,,,False,False
DB81,제주국제공항점,제주특별자치도 제주시 공항로 2 제주국제공항 1층,33.5071385,126.4947203,453.29,0730,2130,False,False,20171224,,,DB81_1.jpg,True,False,0,0,False,,E,False,False,False,False,33,DA,,,False,False
B149,제주연동점,제주특별자치도 제주시 신광로 21,33.4901646,126.490275,455.21,1030,2300,True,False,20140122,,,B149_2025082331512151.jpg,False,False,0,0,False,,O,False,False,False,False,33,B1,,,False,False
DB71,제주한라병원점,제주특별자치도 제주시 도령로 73 연동 펠리체 2F,33.4900876,126.4859156,455.25,1000,2230,False,False,20171214,,,DB71_1.jpg,True,False,0,0,False,,E,False,False,False,False,27,DA,,,False,False
DCAB,제주아라일동점,제주특별자치도 제주시 연북로 527 (아라일동 6035-1),33.4851989356373,126.536163681745,455.37,1000,2200,False,False,20201125,,,DCAB_1.jpg,True,False,0,0,True,,E,False,False,False,False,26,DA,,,False,False
DDD3,제주제원점,제주특별자치도 제주시 신광로 57 1층,33.4870397681794,126.49024720861,455.55,1100,2300,True,False,20230715,,,DDD3_2024123581031201.png,True,False,0,0,False,,O,False,False,False,False,34,DA,,,False,False
BAAC,제주연동신라점,제주특별자치도 제주시 노연로 49 101호,33.4861999348151,126.485577867386,455.69,1030,2230,False,False,20240301,,,BAAC_1.jpg,False,False,0,0,False,,E,False,False,False,False,21,B1,,,False,False
BAA8,제주노형점,제주특별자치도 제주시 1100로 3308 에코트윈,33.4816322571847,126.481718642804,456.23,1000,2200,False,False,20231201,,,BAA8_1.jpg,True,False,0,0,True,,E,False,False,False,False,38,B1,,,False,False
DD7E,제주협재점,제주특별자치도 제주시 한림읍 한림로 336 올리브영,33.3934132787812,126.24062602351,468.63,1100,2000,False,False,20230528,,,DD7E_1.jpg,True,False,0,0,True,,E,False,False,False,False,13,DA,,,False,False
DF5D,서귀포동광점,제주특별자치도 서귀포시 안덕면 신화역사로403번길 81,33.3101583312049,126.333976273779,476.68,1000,2200,False,False,20250815,,,DF5D_2025082301545521.jpg,True,False,0,0,True,,E,False,False,False,False,10,DA,,,False,False
D327,제주서귀포점,"제주특별자치도 서귀포시 중정로61번길 4 1층,2층",33.2481014840114,126.563107742108,481.44,1030,2200,False,False,20150320,,,D327_1.jpg,True,False,0,0,True,,E,False,False,False,False,14,DA,,,False,False
DEE0,서귀포혁신도시점,제주특별자치도 서귀포시 일주동로 9155,33.2477134455031,126.514578681489,481.85,1000,2200,False,False,20241220,,,DEE0_202501061423061.png,True,False,0,0,True,,E,False,False,False,False,22,DA,,,True,False
D358,제주중문점,제주특별자치도 서귀포시 중문관광로110번길 32 올리브영 제주중문점,33.251069011885804,126.41329810023308,482.38,1000,2100,False,False,20150610,,,D358_2025113211619461.png,True,False,0,0,True,,E,False,False,True,False,7,DA,,,False,False
